timestamp,open,high,low,close,volume_btc,volume_usd
2024-01-01 00:00:00,30000.0,30027.6,29987.05,30024.84,8.0461,241581.62
2024-01-01 00:01:00,30024.84,30029.52,29981.54,30013.13,6.5349,196131.87
2024-01-01 00:02:00,30013.13,30023.98,29980.39,29989.65,4.0685,122014.12
2024-01-01 00:03:00,29989.65,30040.02,29955.16,30001.75,3.8754,116269.54
2024-01-01 00:04:00,30001.75,30008.04,29932.95,29951.11,2.1754,65155.42
2024-01-01 00:05:00,29951.11,30028.91,29949.76,30024.39,2.1505,64567.57
2024-01-01 00:06:00,30024.39,30026.61,29974.15,29997.17,5.7514,172525.63
2024-01-01 00:07:00,29997.17,30003.01,29955.11,29967.14,8.7046,260850.68
2024-01-01 00:08:00,29967.14,29988.3,29950.02,29966.47,2.5583,76663.59
2024-01-01 00:09:00,29966.47,30016.1,29939.9,29976.91,5.3937,161687.14
2024-01-01 00:10:00,29976.91,30017.26,29974.6,30013.83,4.3978,131994.62
2024-01-01 00:11:00,30013.83,30028.23,29930.7,29939.91,7.1142,212999.82
2024-01-01 00:12:00,29939.91,29992.35,29933.43,29957.09,4.2298,126713.56
2024-01-01 00:13:00,29957.09,29969.32,29902.62,29923.24,6.8626,205350.05
2024-01-01 00:14:00,29923.24,29929.43,29874.66,29881.28,6.9511,207707.49
2024-01-01 00:15:00,29881.28,29884.99,29835.2,29857.32,2.6076,77855.56
2024-01-01 00:16:00,29857.32,29925.07,29855.88,29897.95,7.0071,209496.9
2024-01-01 00:17:00,29897.95,29928.93,29890.72,29916.03,8.0761,241604.06
2024-01-01 00:18:00,29916.03,29947.32,29861.84,29914.24,6.6438,198744.38
2024-01-01 00:19:00,29914.24,29924.57,29912.4,29918.59,1.0249,30662.43
2024-01-01 00:20:00,29918.59,29925.73,29878.05,29907.61,3.9635,118537.6
2024-01-01 00:21:00,29907.61,29917.64,29848.88,29867.18,5.6575,168973.66
2024-01-01 00:22:00,29867.18,29877.45,29838.75,29840.7,6.9373,207013.56
2024-01-01 00:23:00,29840.7,29847.25,29797.75,29805.59,2.073,61786.1
2024-01-01 00:24:00,29805.59,29825.62,29805.49,29820.4,4.5308,135111.03
2024-01-01 00:25:00,29820.4,29828.81,29742.78,29749.63,3.3954,101013.25
2024-01-01 00:26:00,29749.63,29757.71,29703.84,29741.57,5.3492,159092.27
2024-01-01 00:27:00,29741.57,29755.93,29703.19,29754.44,4.947,147194.41
2024-01-01 00:28:00,29754.44,29806.72,29750.6,29757.46,5.6031,166733.84
2024-01-01 00:29:00,29757.46,29780.83,29732.86,29755.72,6.5039,193527.22
2024-01-01 00:30:00,29755.72,29813.46,29727.66,29795.27,2.1963,65439.29
2024-01-01 00:31:00,29795.27,29868.42,29775.46,29824.61,3.8674,115343.85
2024-01-01 00:32:00,29824.61,29839.67,29793.6,29829.6,5.1371,153238.4
2024-01-01 00:33:00,29829.6,29839.07,29758.09,29776.48,8.0999,241185.6
2024-01-01 00:34:00,29776.48,29782.92,29721.05,29737.32,2.5383,75481.39
2024-01-01 00:35:00,29737.32,29774.83,29705.17,29748.69,5.3693,159728.69
